Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Falkland Islands,60,763,54,6,7165,"3,558"
Laos,52,763,49,3,143481,"7,357,605"
Macao,49,763,48,1,4418,"656,216"
Saint Kitts and Nevis,44,763,44,0,12381,"53,492"
Greenland,31,763,31,0,20669,"56,847"
Vatican City,27,763,15,12,844275,803
Anguilla,25,763,22,3,14579,"15,107"
Saint Pierre Miquelon,24,763,24,0,5126,"5,772"
Montserrat,20,1,19,0,1313,"4,994"
Solomon Islands,19,763,18,1,4500,"699,918"
Western Sahara,10,1,8,1,844275,"608,703"
Marshall Islands,4,763,4,0,844275,"59,501"
Samoa,3,763,2,1,844275,"199,442"
Vanuatu,3,763,1,2,470,"312,702"
Micronesia,1,763,1,0,844275,"115,962"
China,90435,4636,85506,293,160000000,"1,439,323,776 "
